tweets,labls
"RT @BennieGThompson: As we remember January 6th, I am grateful for the heroes who protected the Capitol. We remember the five officers who…",D
"Two years ago today, armed insurrectionists waged a violent attack on our nation’s Capitol. 

We will not stop unti… https://t.co/1ImAMNYeQJ",D
"3 days and 11 votes later, we still have no Speaker. 

Republicans are failing the American people.",D
"RT @TaylorPopielarz: ""We're letting down the American people. It's almost like Congress is homeless...sad day in America, because of the Re…",D
RT @RepShontelBrown: https://t.co/zdnfyQfoLc,D
"Congratulations to the men in crimson &amp; cream on 112 years of service, scholarship, and brotherhood. 

Happy J5! @kapsi1911",D
"RT @RepJeffries: It’s time to get to work.

For. The. People.",D
"RT @StaceyPlaskett: Democrats are “hear” for it 

#peopleoverpolitics https://t.co/tPb6inp56T",D
When will the @HouseGOP get their act together?,D
How it started                How it’s going https://t.co/ClTR1Hfacq,D
"RT @HouseDPCC: Yesterday was a day of Republican chaos — and of Democratic unity.

@HouseDemocrats are ready, willing, and able to get to w…",D
Day 2 under a Republican majority. Pitiful. https://t.co/ndYEnt0nwN,D
"House Republicans are in chaos, confusion, and crisis. 

Democrats remain united and ready to govern.",D
RT @FedExPolicy: FedEx is honored to congratulate the 57 new and returning members of @TheBlackCaucus of the 118th U.S. Congress on their h…,D
"Moving into 2023, I want to wish you the happiest holidays &amp; the healthiest New Year!",D
"Honored to be joined by family, friends, community, and leaders here in #OH03 at my Ceremonial Swearing-in ceremony… https://t.co/gc7aZD45no",D
"Happy Kwanzaa! I hope this week brings you love, happiness, and peace always!",D
"Come join #TeamBeatty this Thursday, December 29th for the 118th Congress Ceremonial Swearing-In at the Ohio Stateh… https://t.co/Xv1YuVtCNP",D
#MerryChristmas and happy holidays to everyone celebrating!,D
"#OH03 is home to some of the best holiday light displays in Ohio. Bundle up the kids, grab some cocoa, and enjoy th… https://t.co/08wMSxcne6",D
"RT @OneVoiceHSC: With passage of the Omnibus, we are delighted to share that $6.3 million has been secured by nine of our members through t…",D
I am tremendously proud to have secured key federal dollars for community projects that will directly benefit the p… https://t.co/XfADwbUPHH,D
Happy heavenly birthday Madam CJ Walker! The first Black female self-made millionaire in America.,D
RT @RepJeffries: Every single person who attempted to overthrow the United States government must be held accountable to the full extent of…,D
"Come join #TeamBeatty on Thursday, December 29th for the 118th Congress Ceremonial Swearing-In at the Ohio Statehou… https://t.co/ehq2pupdmS",D
"Come join #TeamBeatty on Thursday, December 29th for the 118th Congress Ceremonial Swearing-In at the Ohio Statehou… https://t.co/RFL8kdVsuf",D
"Come join #TeamBeatty on Thursday, December 29th for the 118th Congress Ceremonial Swearing-In at the Ohio Statehou… https://t.co/hZB59raLup",D
"This SDR issuance provided African nations with a critical lifeline, financing the import, production and distribut… https://t.co/pGzdrmBIZq",D
"In light of President Biden hosting the second-ever U.S.-Africa Leaders Summit this week, I am sharing once again t… https://t.co/0lU7Jz5ZHf",D
"RT @WhipClyburn: While it's important to know our past, we ought not place those who sought to divide our nation in a place of honor.

Toda…",D
The People’s House should reflect the very best of America for OUR future. #RemoveHate,D
"RT @RealBankReform: Thanks to @RepBeatty for raising credit bureaus, and @CFPB work on protecting consumers in this very important area 11/…",D
"10 years ago today, 26 innocent lives were lost at the hands of gun violence at Sandy Hook Elementary. 

The freque… https://t.co/fXRH9WNgGj",D
RT @WhiteHouse: The White House is lit up rainbow tonight in celebration of President Biden signing the Respect for Marriage Act. https://t…,D
RT @RepNikema: The U.S. Postal Service just announced that my friend and predecessor Congressman John Lewis will be honored on a new postag…,D
"#OnThisDay in 1636, ⁦the @USNationalGuard⁩ was established.

We thank you for your service to protect and support c… https://t.co/WJKzlJwyGg",D
"The #PowerOfOne Statewide Tribute recognizes the courage and defiance of Rosa Parks. As a community, we NEED a move… https://t.co/pCNvR47ehc",D
"RT @COTABus: On Thursday, we were honored to once again partner with @RepBeatty and @OhioState to honor Rosa Parks at The Power of One: The…",D
Today is the day! RSVP to https://t.co/5SbmqGVib1 to claim your seat at the #PowerOfOne Statewide Tribute to Rosa P… https://t.co/TNoqReC8ug,D
"#OnThisDay in 1941, the attack on Pearl Harbor killed 2,403 Americans and injured 1,178 more, leading to America’s… https://t.co/RnphzsGwcp",D
"Come salute the #PowerOfOne at the 17th Annual Statewide Tribute to Rosa Parks this Thursday, December 8, at the Fa… https://t.co/AWZToe0Zae",D
.@FSCDems have proved that paying lip service to the importance of diversity and inclusion is simply unacceptable.… https://t.co/yZXtEPMP9U,D
Two days Left to register for the #PowerOfOne! RSVP to https://t.co/5SbmqGVib1 to claim your seat. https://t.co/8RqZJQWOFF,D
Four days Left to register for the #PowerOfOne! RSVP to https://t.co/5SbmqHcT2z to claim your seat. https://t.co/z80c5p08rQ,D
"RT @Ilhan: Glad to have the support of @SenMarkey, @RepRashida, and @RepBeatty as co-leads.",D
"RT @Ilhan: Today, our office sent a letter with @SenWarren to the heads of all U.S. banking regulators calling on them to improve banking a…",D
"#OnThisDay in 1955, the Montgomery bus boycott began after the arrest of Rosa Parks. https://t.co/cta9qnhjOX",D
"Happy Founders Day to the men of Alpha Phi Alpha (@apa1906NETwork). Congratulations on 117 years of brotherhood, scholarship, and service.",D
We shouldn’t deny borrowers access to student loan debt relief. #CancelStudentDebt,D
"Join me next Thursday, Dec. 9 to pay tribute in person. RSVP to
https://t.co/5SbmqGVQ0z
to claim your seat. https://t.co/T6b8Phi6XB",D
"Today, we honor the legendary trailblazer, #RosaParks for her bravery to spark a movement that changed America for… https://t.co/yEB5pkzEsz",D
"RT @RepJeffries: Humbled to be elected incoming House Democratic Leader. 

Ready to get to work.

🇺🇸🇺🇸🇺🇸",D
Happy Birthday to the trailblazing and fierce Shirley Chisholm! We will forever remember her immeasurable impact as… https://t.co/OFPXAtVGvK,D
Happy Heavenly Birthday to Chadwick Boseman. Your talent and contribution to society has left an impact that will f… https://t.co/3FpfmrXoSY,D
I am profoundly saddened by the loss of my CBC colleague &amp; friend Rep. Donald McEachin. He leaves an unparalleled l… https://t.co/sYix9ZePCI,D
"Come salute the #PowerOfOne at the 17th Annual Statewide Tribute to Rosa Parks next Thursday, December 8, at the Fa… https://t.co/DAlzKzHoDm",D
"Happy Thanksgiving! I hope this day is filled with blessings, gratitude, and love as we all give thanks for being s… https://t.co/AXL7BCwy9Y",D
"RT @RepLucyMcBath: Today marks the 10th anniversary of the death of my precious son, Jordan. He was shot at a gas station in 2012 for playi…",D
"I stand with the LGBTQ+ community in the fight against hate crimes and violence, and I will continue to fight for t… https://t.co/VWJq90jKu8",D
"I am devastated by the tragic mass shooting at Club Q in Colorado Springs, Colorado that took the lives of five peo… https://t.co/1J6342fxyZ",D
"Happy 80th Birthday to our fierce leader @POTUS.

Thank you for your inspiring leadership of our country.",D
"Over his decades of experience, Jim Clyburn (@WhipClyburn) has been a steady, effective leader for House Democrats… https://t.co/IxYgDX2kLW",D
"When the history books are written, @SpeakerPelosi will go down as one of the most respected, dedicated, and succes… https://t.co/HwyK3AbqgJ",D
"Happy Founders Day to the brothers of Omega Psi Phi Fraternity, Inc. (@OfficialOPPF) Congratulations on 111 years o… https://t.co/w6moHjwPbB",D
RT @TheBlackCaucus: One year ago today — the Bipartisan Infrastructure Law  a once-in-a-century opportunity to strengthen our nation’s infr…,D
RT @CareersUsps: A new career awaits! Join us in Ohio at a postal job fair near you! And for tips on where and how to apply: https://t.co/k…,D
RT @fred_guttenberg: Reducing gun violence is not about the 2A.  It is about saving lives.  Acts of gun violence like this don't need to be…,D
"November is American Diabetes Month. Today's diabetes hits different but with the help of new technologies, better… https://t.co/ABqQEELbqG",D
"Happy Founders Day to the Ladies of Sigma Gamma Rho Sorority, Inc. @SGRho Congratulations on a CENTURY of service!… https://t.co/qUxVr1nb3j",D
"On #VeteransDay, we salute those who sacrificed for our country &amp; those who continue to serve after leaving service… https://t.co/WqKXGxeXsN",D
"For too long, affordable health care has been out of reach for many working families. That’s why I voted to pass th… https://t.co/wx0u3z2oyF",D
Today is Election Day! Visit https://t.co/YAXsR4FWUx to find your polling site or request an absentee ballot. https://t.co/iISw8Fz3jG,D
Our future is on the ballot. GO VOTE. https://t.co/PnUomR28GV,D
"Today is the last day for Early, Absentee, Military and Overseas Voting in Ohio's general election!  Visit… https://t.co/QYun2AYgU5",D
"I am fighting for lower costs and will continue to put #PeopleOverPolitics:
⚕At the pharmacy
🩺In the doctor’s office
⛽️At the gas pump",D
"Regardless of gender, age, or spiritual beliefs, we ALL suffer when our right to reproductive care is taken away. W… https://t.co/JO2rxn4FG5",D
"#OnThisDay in 1968, Shirley Chisholm became the first Black woman elected to Congress. She paved the way for Member… https://t.co/mExkmGyqDB",D
"Ohio parents are struggling to find the child care they need, and when they do, the price is too high.

We can’t ig… https://t.co/2eFUIngmVq",D
"There’s still time to register!

Visit https://t.co/TG4CeW9lXQ to claim your seat. #OWNYourVote https://t.co/ldpMAdoeHE",D
"#OnThisDay Carol Moseley-Braun became the first black woman elected to the Senate.

“I cannot escape the fact that… https://t.co/l7W4vT4hPe",D
"The soul of our nation, our freedom and our democracy are on the ballot. We MUST make our voices heard this electio… https://t.co/ZGPIxj27UQ",D
I'll be LIVE with the one and only @Oprah Winfrey tonight to talk about the importance of voting in the midterm ele… https://t.co/KIPMDH2Wdm,D
"The #ACA marketplaces are now more affordable for families, with plans that will save an average of $800 per year a… https://t.co/fhlfhoq8Az",D
"Over 10,500 jobs have been created in OH-03 and I won’t stop fighting to lower costs while bringing better-paying j… https://t.co/DHx0pWy0kB",D
"Today is #WorldStrokeDay. As a stroke survivor, I know it is vital that everyone is aware of the signs and symptoms… https://t.co/dDtBzi3Eld",D
"I am sickened by the attack on Paul Pelosi. As a colleague and friend, I have reached out to @SpeakerPelosi and fam… https://t.co/Qomb9KGP8d",D
RT @SenSchumer: What happened to Paul Pelosi was a dastardly act. I spoke with Speaker Pelosi earlier this morning and conveyed my deepest…,D
It was four years ago today that the deadliest act of anti-Semitic violence in American history stuck the Tree of L… https://t.co/KQ7fcgakBD,D
"Rising prices are squeezing too many families. With the historic Inflation Reduction Act, Democrats are lowering dr… https://t.co/u0sz0z5em4",D
"#InThe117th we've been able to:
✅ Create Better Paying Jobs
✅ Lower cost for working families
✅ Make health care mo… https://t.co/HwIFP0Vlob",D
#RosaParks continues to inspire us all to take direct action and advocate for our communities. Her brave leadership… https://t.co/phCDBQpstt,D
RT @RepJeffries: Our democracy is not for sale.,D
"For those celebrating, we hope the Diwali lights brighten your life and fill your day with happiness. Have a blessed Diwali!",D
Basic necessities shouldn’t be the reason our families can't live a healthy lifestyle or seek proper treatment. Tha… https://t.co/1WawoEZpEx,D
We needed the Violence Against Women Act Reautherization because American Women shouldn’t have to live in fear. #PERIOD,D
Happy birthday to our very own Madam Vice President Kamala Harris. Thank you for being a true leader and inspiratio… https://t.co/hOhpeTNcVC,D
#InThe117th - Democrats passed the Inflation Reduction Act to lower costs for American families by saving them $$ o… https://t.co/OfkYrVCORC,D
"🚨OHIO VOTERS 🚨

We are three weeks away from Election Day and I’m here to remind you that early voting is OPEN.

Yo… https://t.co/090zZba5ge",D
"RT @RepCori: she/her/hers

These are my pronouns. Using someone’s correct pronouns is not only a sign of respect — it is essential to creat…",D
"Today marks the 50th anniversary of the Clean Water Act, which has protected clean water and public health in our c… https://t.co/OlebWsMGjD",D
"🚨🚨
Applications for student loan relief are NOW OPEN!
🚨🚨

Millions of Americans now qualify for up to $20,000 in re… https://t.co/TFZVdSU8J2",D
"Today is National Latinx AIDS Awareness Day, a day to help stop HIV stigma and address the disproportionate impact… https://t.co/32N5s3lfwe",D
"George Floyd should be celebrating his 49th birthday with family and loved ones today. 

Gone but not forgotten, we… https://t.co/2fljJWTgyt",D
"Ohio’s bridges will receive $104,290,441 in 2023 thanks to the Bipartisan Infrastructure Law, which will:

👷Create… https://t.co/m56igRPc6w",D
"RT @RepJeffries: The Social Security benefit increase announced today is the largest in 40 years.

Extreme MAGA Republicans want to end thi…",D
"RT @January6thCmte: Donald Trump led a multi-part plan to stay in power.

How do we know this? Because of testimony almost entirely from Re…",D
"Rising prices are squeezing too many families. With the historic Inflation Reduction Act, Democrats are lowering dr… https://t.co/D1W2Uh6wqD",D
Early and Absentee Voting is now OPEN for Ohio’s November 8th General Election! Visit https://t.co/YAXsR4FWUx to fi… https://t.co/tvdDKgF5eL,D
"Today we honor the girls that serve as our fearless leaders and powerhouses in the fight.

We stand with the girls… https://t.co/6tYL5a9hoc",D
Today is the last day to register to vote in Ohio's general election! Visit https://t.co/YAXsR4WZWx to register onl… https://t.co/yWoVV3Yodh,D
Happy #NationalComingOutDay Ohio! Never be afraid to express who you are and who you love.,D
"RT @MichelleObama: Today is #DayOfTheGirl, and the @GirlsAlliance is launching #GetHerThere, a global call to action to empower and educate…",D
RT @glaad: Happy #NationalComingOutDay! ❤️🏳️‍🌈🏳️‍⚧️ https://t.co/g5mScII8ow,D
"For years our Indigenous people have been unseen and unheard. Today we honor their history, cultures, and contribut… https://t.co/BdrPFXZ2gb",D
Today is #WorldMentalHealthDay and we can not ignore the signs. Check in on family and loved ones to see how their… https://t.co/3WNIrEPL1J,D
Happy 81st Birthday to the honorable @RevJJackson. His outstanding leadership and advocacy has inspired us all to p… https://t.co/vNXnHYbbk0,D
"Congressman John Lewis once said: “Your vote is precious, almost sacred. It is the most powerful nonviolent tool we… https://t.co/6yxOidIhYB",D
"Happy Birthday to the legendary civil rights &amp; women’s rights activist Fannie Lou Hamer.

“When I liberate myself,… https://t.co/2PvIzo5wRh",D
Cannabis justice is racial justice! @POTUS is correcting a historic injustice and pardoning ALL federal offenses of… https://t.co/xSyHP42MLt,D
"RT @RepChuyGarcia: While this decision brings relief to current DACA recipients, it underscores the urgent need for Senate action on The Dr…",D
"#OnThisDay in 1951, Henrietta Lacks passed away and left behind an indelible impact on modern medicine that would g… https://t.co/tighDW38Kv",D
Yom Tov to all in #OH03 and beyond who will be observing Yom Kippur. May your fast be meaningful and easy. https://t.co/RTqz5FySnk,D
You have one more week to register to vote in Ohio's general election! Visit https://t.co/YAXsR4Fp4Z to register on… https://t.co/3T4Z46ugrE,D
RT @VinceEvans: The future of the Voting Rights Act (VRA) hangs in the balance this morning.  I’ve said it before and I’ll say it again: Th…,D
"Today marks the first day in American history that a Black woman has sat on the Supreme Court.
 
Justice Ketanji Br… https://t.co/G7WhfbRfXX",D
"RT @BarackObama: Miche, After 30 years, I’m not sure why you look exactly the same and I don’t. I do know that I won the lottery that day—t…",D
"With the final days of #ALC51 coming close, I am grateful to witness such greatness from across the nation come tog… https://t.co/BkEQhkvZmO",D
"Today, we gathered for a Day of Healing at the Annual Prayer Breakfast. https://t.co/UuSBadMfwC",D
"Today, we gathered for a Day of Healing at the Annual Prayer Breakfast. https://t.co/DEmxy1J9A8",D
"RT @RepBera: Are you looking to sign up for health insurance or switch your current plan?

Today is the last day to sign up through @Covere…",D
Congratulations to @RideSacRT for being recognized with @TSA's Gold Standard Award - one of only four transit agenc… https://t.co/J0NqjhAG0a,D
"The first Social Security check was issued 83 years ago to Ida May Fuller, a teacher from Vermont.

As Republicans… https://t.co/gBfnIsmwau",D
"Are you looking to sign up for health insurance or switch your current plan?

Today is the last day to sign up thro… https://t.co/H5u3VzyXAS",D
"My team will be at the Del Paso Heights Library tomorrow from 10:30am-12:30pm PT.

Stop by and speak with our casew… https://t.co/8n7SWmsAwG",D
"As a kid who grew up during the height of the space race dreaming of what lay beyond us, I’m honored to be appointe… https://t.co/TpWUe5C7NQ",D
"I’m appalled by the brutal and senseless killing of Tyre Nichols. My deepest condolences are with his family, frien… https://t.co/42AQleryUr",D
Congratulations to Andrej Stojaković of @JesuitHighSac for being selected to participate in the McDonald’s All-Amer… https://t.co/N29ZXslqee,D
"Today, and every day, we remember the victims and survivors of the Holocaust. 

We pledge to never forget the atroc… https://t.co/PScY7CxD0m",D
"Last fall, the death of Mahsa Amini at the hands of Iranian authorities sparked widespread protests across Iran.

I… https://t.co/mFT5Dwe0UH",D
"As a doctor, I know that health decisions should be made between a patient and their physician, not politicians.

T… https://t.co/wXjGJBNtuO",D
I applaud @POTUS' decision to extend the program that provides refugee for eligible Hong Kongers in the US fleeing… https://t.co/Orc4bYvuQs,D
"Applications are open for the @CityofRCordova COVID-19 Recovery Grants.

Made possible through the… https://t.co/Y4FM3TdUsN",D
"Today, I joined my colleagues from California for a moment of silence on the House floor to honor the victims of th… https://t.co/uwS2yopV1M",D
"We should be working to lower costs for families, not cutting hard-earned benefits that our nation's seniors have p… https://t.co/YAqJeNDkt2",D
"On International Day of Education, I’m proud to cosponsor @RepGraceMeng’s resolution that reaffirms U.S. support fo… https://t.co/YkJOxjrDpA",D
"It was my honor to present the Purple Heart to Janet Sparre, whose father Charles Richard Nelson was wounded during… https://t.co/x5PaSesfBX",D
Another gun related tragedy in California. There have been at least 38 mass shootings so far in 2023. It is January… https://t.co/o5ATbMgawH,D
"Do you need help recovering stalled tax returns, passports, or backlogged benefits?

My staff will be onsite at the… https://t.co/QBNcWBYCHq",D
My thoughts and condolences are with victims and loved ones of the horrific mass shooting in Monterey Park during L… https://t.co/wweuuGPGZ3,D
"Thank you to everyone who attended our first town hall of 2023!

We covered a lot of ground, including the recent s… https://t.co/P6XuzCJd6h",D
"Yesterday, I joined community leaders to survey damage from the levee breaches near Wilton.

I’ll continue to work… https://t.co/tNZNQ8Bogp",D
"As Co-Chair of the Congressional Childhood Cancer Caucus, I am thrilled that @POTUS signed into law the Childhood C… https://t.co/heozD1ToFW",D
RT @SacramentoOES: Federal disaster assistance is available to Sacramento County residents and businesses affected by recent storms. Detail…,D
"⏰ Reminder: I'm hosting my first town hall of 2023 TONIGHT at 6:30pm PT.

Details below 👇. I hope to see you there! https://t.co/fPQfk36bHJ",D
Sending my deepest condolences to the people of Nepal and the loved ones of those who perished in this weekend’s de… https://t.co/Ysojpv4lSX,D
"On #MLKDay, we reflect on the incredible life and legacy of Dr. Martin Luther King Jr. and recommit ourselves to co… https://t.co/ZBVwA5HLrt",D
"As a staunch supporter of the U.S.-Japan alliance, I applaud today’s engagement between @POTUS and @kishida230 of J… https://t.co/nLyiWF7GEt",D
"Pleased to see that the U.S. and the Marshall Islands have signed an MoU affirming our close partnership.

I look f… https://t.co/OcOTnJqJCM",D
"RT @RepJayapal: Thank you @RepBera for welcoming us in!  Proud to be growing in numbers, &amp; while I am the first 1st Indian American woman i…",D
"It's outrageous that Americans pay up to 3 times more on prescription drugs than people in other countries.

The In… https://t.co/whwJk4czQC",D
@chelliepingree https://t.co/q5wlyUIrat,D
"When I entered Congress in 2013, I was the sole Indian American Member of Congress and only the third in U.S. histo… https://t.co/VvGKzYVHlG",D
"Health decisions should be made between a patient and their doctor, not politicians.

That's why I'll continue to o… https://t.co/fe6uULaZfx",D
"Congratulations to Ambassador Yun, his team, and to our friends in Palau on today’s signing. I look forward to such… https://t.co/aoO89mblaE",D
"The United States and the Freely Associated States have a special and historic relationship, and this MoU reflects… https://t.co/RZbo3RQuPz",D
"📣 I’m hosting my first Town Hall of 2023 on Tuesday, January 17. This is an opportunity for you to share with me yo… https://t.co/Z1L55iDASG",D
"I’m proud to have secured $750,000 in federal funding to support the @_MealsOnWheels Sacramento Kitchen Project.

T… https://t.co/kxMkf4z7Q8",D
The very first bill offered by the new Republican majority adds $114 billion to the national deficit by making it e… https://t.co/hrYF8KUs3z,D
"RT @SacCountyCA: With more heavy wind and rain expected, please stay safe and be prepared. Sign up for emergency alerts at https://t.co/p0K…",D
"Today is National Law Enforcement Appreciation Day.

Thank you to all the brave men and women in uniform who work t… https://t.co/DFYW4KiMMs",D
Seniors have paid into Social Security and Medicare their whole lives. They deserve a secure and dignified retireme… https://t.co/ZYy54UHWDV,D
ICYMI: I worked with community partners to bring home over $32 MILLION in federal funding to directly support 15 pr… https://t.co/8BWOd9y9G2,D
It was an honor to be sworn in earlier this morning to represent the great people of #CA06 in the U.S. House of Rep… https://t.co/rouDUPSgTz,D
"The Inflation Reduction Act is capping monthly insulin payments at $35/month for seniors on Medicare.

This will sa… https://t.co/Ws4S5BVZ0h",D
"December was another strong month for the American economy: 223,000+ jobs were added and unemployment is down to a… https://t.co/O0Tueorsy5",D
"Our nation’s Capitol, the seat of our democracy, was attacked two years ago during a violent insurrection.

We have… https://t.co/BKv4VpU9eh",D
"Proud to secure $950,000 in funding to support the @flcfalcons Prison and Reentry Education Program.

This program… https://t.co/r4p8WiEyDs",D
#SacramentoCounty families can now save thousands of dollars in tax breaks thanks to the clean energy provisions in… https://t.co/gKvbDrCGbh,D
"I’m excited to be back in Washington, DC to kick off the 118th Congress!

I’ll continue to fight for policies that… https://t.co/7X2SZlD6My",D
"RT @SacCountyCA: Stay Informed on Critical Storm Information. Due to the incoming storms, there is the potential for localized flooding. If…",D
"Burma’s military regime continues to attack the rule of law in an attempt to silence dissent and democracy.

I join… https://t.co/WfjoyqeWR6",D
"In 2022, my office helped recover over $4.5 MILLION in owed benefits for #SacramentoCounty residents.

Do you need… https://t.co/OYRNQwVQ3H",D
Wishing you and your family a Merry Christmas! 🎄🎁 https://t.co/0bGHsLfGGv,D
"🚨 I’m proud to bring home over $32 MILLION in federal funding for 15 local projects in #SacramentoCounty.

These in… https://t.co/I4XoJxddvr",D
It was great to join the @RedCross in writing letters to our men and women in uniform serving overseas this holiday… https://t.co/gGezCMULYA,D
The Bipartisan Infrastructure Law is the single largest investment in our nation’s bridges since the construction o… https://t.co/KgBzyH0gJm,D
Wishing a happy #Hanukkah to all those celebrating in #SacramentoCounty and across the country. Chag Sameach!,D
"RT @HouseForeign: Chairs @RepGregoryMeeks, @RepBera and Ranking Members @RepMcCaul, @RepSteveChabot issued the following statement regardin…",D
"Siemens has been an integral part of the Sacramento community for the past three decades, and I'm excited for the r… https://t.co/CyPmI07DOw",D
"BIG NEWS: @Amtrak just unveiled its newest fleet of trains, which will be manufactured by @SiemensMobility right he… https://t.co/i1qNwkprQx",D
"Starting today, every American household can order four additional free #COVID19 tests delivered directly to their… https://t.co/URvBmYQLJp",D
"Last night, I joined a bipartisan majority in passing the Law Enforcement De-escalation Training Act.

This bill pr… https://t.co/wELEa3RrKA",D
"Starting in 2023, the Inflation Reduction Act will cap monthly payments for insulin at $35/month for seniors on Med… https://t.co/ObPvQ7lm3s",D
"Honored to receive the Visionary Award from the @aao_ophth for my efforts to avert Medicare payment cuts.

As a doc… https://t.co/cBRKNeZiM9",D
Our hearts are heavy today as we remember the 20 children and six educators who were murdered at Sandy Hook Element… https://t.co/TXcmJFr3Fu,D
"As Chair of the @HouseForeign Subcommittee on Asia, I’m concerned by the escalation of violence in #Bangladesh and… https://t.co/vEp9RMHP9c",D
"GREAT NEWS! @POTUS just signed the Respect for Marriage Act, enshrining marriage equality into federal law.

As a m… https://t.co/PU2WzXo1Ru",D
"4) Finally, my bipartisan Taiwan Fellowship Act passed the House yesterday as part of the #FY23NDAA.

This bill dev… https://t.co/DL74L7yJhN",D
"3) Also passed in the #FY23NDAA is my bipartisan Countering China Economic Coercion Act, which will create the firs… https://t.co/yAd5vgmvLU",D
2) My Taiwan Peace and Stability Act strengthens the U.S.-Taiwan partnership by enhancing deterrence over a cross-S… https://t.co/kC7EsfE7ug,D
"1) For decades, we have underinvested in both diplomatic and aid assistance to the Indo-Pacific.

My bipartisan Ind… https://t.co/Gyk7x0QSZd",D
"🚨 The House passed FOUR of my bills as amendments to the #FY23NDAA.

My amendments are crucial to bolstering Americ… https://t.co/kfFOmMpTrE",D
RT @RepMariaSalazar: Thanks so much to @RepBera for his leadership on our bipartisan legislation to end tuberculosis globally! TB is one of…,D
"Tuberculosis is the second leading infectious disease killer after COVID-19, and the leading cause of death for peo… https://t.co/DSx8pm0bcm",D
"This week, the @HouseForeign Committee unanimously passed my and @RepMariaSalazar’s bipartisan legislation to stren… https://t.co/T29X0MqEB2",D
"The National Defense Authorization Act will provide our men and women in uniform with a much-deserved pay raise, wh… https://t.co/3FlMTOfNRA",D
"I proudly voted YES to send the Respect for Marriage Act to @POTUS to be signed into law!

This bill will ensure th… https://t.co/YgrGXSNKz3",D
"I join Americans across the country in remembering the 2,300 service members who lost their lives at Pearl Harbor 8… https://t.co/jaeJZB0oiW",D
Our nation’s physicians should not be restricted from accessing the latest medical resources because of misdirected… https://t.co/EI708EE4uX,D
"RT @HouseForeign: 🚨STARTING NOW🚨

Join Chair @RepBera and the Subcommittee on Asia, the Pacific, Central Asia and Nonproliferation for a di…",D
"Flu cases are surging in California and across the country.

As a doctor, I encourage everyone to get their flu sho… https://t.co/nKsVWFHQKo",D
"Today, Congress awarded the Congressional Gold Medal to the U.S. Capitol Police and Metropolitan Police Department… https://t.co/sqntcq9FLp",D
"RT @theglobalfight: “I see this disease not as a member of Congress, but as a doctor... we can end #TB globally because we know how to do i…",D
"RT @TBAlliance: Speaking on the historic End TB Now act, @RepBera says to applause that “we’ll be marking that up in the foreign affairs co…",D
ICYMI: $15.2 million in federal investments is coming to #SacramentoCounty to help improve our local health care se… https://t.co/KNEoNyKpRC,D
"RT @HouseForeign: Wednesday, 10am ET

Chair @RepBera hosts ""Understanding and Addressing Challenges in the Mekong Region""

Witnesses:
- @St…",D
"Great piece by @TheUSONetwork.

It's time for Congress to pass the Supporting Medicare Providers Act – a bipartisan… https://t.co/g97jN6kLRY",D
"November was another strong month for the American economy – 263,000 new jobs were created, wages are up, and unemp… https://t.co/u6BVDjhWxK",D
"Applications are open for the @SacCountyCA small businesses and nonprofits grant program.

Made possible through th… https://t.co/qmKkC8hn1k",D
"In 2021, 23.3 million people around the world received lifesaving HIV medication thanks to U.S. investments in… https://t.co/ohVK58mbNA",D
"On #WorldAIDSDay, we remember those lives that were cut short because of HIV/AIDS and we recommit to fighting this… https://t.co/hKm9niCsnK",D
It’s past time for the Senate to take the House’s lead and pass the Women’s Health Protection Act to codify reprodu… https://t.co/tw1iRSJEFa,D
"Today I voted to avert a rail shutdown, which would be devastating for working families and our economy.

This legi… https://t.co/WoIUkU1aby",D
"Congratulations to @RepJeffries, @RepKClark, and @RepPeteAguilar for being elected to serve as the next generation… https://t.co/uuN8uHm0uz",D
"The Senate just passed the Respect for Marriage Act, which would enshrine marriage equality for same sex and interr… https://t.co/GHYFMmYVDq",D
"#SacramentoCounty families are seeing higher energy costs due to inflation.

That’s why I voted for the Inflation R… https://t.co/9gmbjCo86f",D
NEW: I’m proud to help secure over $15 million in federal investments to help strengthen #SacramentoCounty’s public… https://t.co/QGCf5iOnWl,D
Deeply saddened to learn of the passing of our colleague Representative Donald McEachin. Don was a tireless champio… https://t.co/xrlx1F7HL5,D
"The #InflationReductionAct makes the single largest climate investment in our nation's history.

This law protects… https://t.co/UzjHkMUcAp",D
Wishing everyone a happy and healthy Thanksgiving! 🦃🍂 https://t.co/2IKSkTwcTa,D
I'm proud to announce that my office has now recovered over $14 MILLION in owed benefits for #SacramentoCounty taxp… https://t.co/hid4mcy0Xw,D
"My thoughts are with all those affected by the devastating earthquake in West Java.

We stand in solidarity with ou… https://t.co/ZB5Rohornr",D
I’m heartbroken by the mass shooting last night at an LGBTQ+ nightclub in Colorado Springs. My heart goes out to al… https://t.co/QOOn0qMKUs,D
"Thank you, @SpeakerPelosi, for your history-making leadership and service.

It’s been an honor to work alongside yo… https://t.co/U0V03OHiUe",D
"Congratulations to @NASA and everyone involved on the successful launch of #Artemis! 🚀

As a long-time member of th… https://t.co/GLm8w3xGke",D
"Contraception enables women to live healthier lives and it enhances their economic security and well-being.

I was… https://t.co/56kvST8hMQ",D
Survivors of workplace sexual violence and assault are often subject to restrictive NDAs that prevent them from see… https://t.co/hpfCRQySaB,D
"RT @HouseForeign: Today, Chairs @RepGregoryMeeks and @RepCicilline, as well as 15 @HouseForeign Members, released the following statement r…",D
